ABW Aruba,ABW,Aruba
AFG Afghanistan,AFG,Afghanistan
AGO Angola,AGO,Angola
AIA Anguilla,AIA,Anguilla
ALA Åland Islands,ALA,Åland Islands
ALB Albania,ALB,Albania
AND Andorra,AND,Andorra
ANT Netherlands Antilles,ANT,Netherlands Antilles
ARE United Arab Emirates,ARE,United Arab Emirates
ARG Argentina,ARG,Argentina
ARM Armenia,ARM,Armenia
ASM American Samoa,ASM,American Samoa
ATA Antarctica,ATA,Antarctica
ATF French Southern Territories,ATF,French Southern Territories
ATG Antigua and Barbuda,ATG,Antigua and Barbuda
AUS Australia,AUS,Australia
AUT Austria,AUT,Austria
AZE Azerbaijan,AZE,Azerbaijan
BDI Burundi,BDI,Burundi
BEL Belgium,BEL,Belgium
BEN Benin,BEN,Benin
BFA Burkina Faso,BFA,Burkina Faso
BGD Bangladesh,BGD,Bangladesh
BGR Bulgaria,BGR,Bulgaria
BHR Bahrain,BHR,Bahrain
BHS Bahamas,BHS,Bahamas
BIH Bosnia and Herzegovina,BIH,Bosnia and Herzegovina
BLM Saint Barthélemy,BLM,Saint Barthélemy
BLR Belarus,BLR,Belarus
BLZ Belize,BLZ,Belize
BMU Bermuda,BMU,Bermuda
"BOL Bolivia, Plurinational State of",BOL,"Bolivia, Plurinational State of"
BRA Brazil,BRA,Brazil
BRB Barbados,BRB,Barbados
BRN Brunei Darussalam,BRN,Brunei Darussalam
BTN Bhutan,BTN,Bhutan
BVT Bouvet Island,BVT,Bouvet Island
BWA Botswana,BWA,Botswana
CAF Central African Republic,CAF,Central African Republic
CAN Canada,CAN,Canada
CCK Cocos (Keeling) Islands,CCK,Cocos (Keeling) Islands
CHE Switzerland,CHE,Switzerland
CHL Chile,CHL,Chile
CHN China,CHN,China
CIV Côte d'Ivoire,CIV,Côte d'Ivoire
CMR Cameroon,CMR,Cameroon
"COD Congo, the Democratic Republic of the",COD,"Congo, the Democratic Republic of the"
COG Congo,COG,Congo
COK Cook Islands,COK,Cook Islands
COL Colombia,COL,Colombia
COM Comoros,COM,Comoros
CPV Cape Verde,CPV,Cape Verde
CRI Costa Rica,CRI,Costa Rica
CUB Cuba,CUB,Cuba
CXR Christmas Island,CXR,Christmas Island
CYM Cayman Islands,CYM,Cayman Islands
CYP Cyprus,CYP,Cyprus
CZE Czech Republic,CZE,Czech Republic
DEU Germany,DEU,Germany
DJI Djibouti,DJI,Djibouti
